model_name,auc_roc,auc_pr,log_loss,test_precision,test_recall,test_f1,test_accuracy,timing_data_prep,timing_fit,timing_predict,timing_total_seconds,timing_solve,timing_get_hamiltonian,timing_preprocessing,timing_run,timing_postprocessing
logistic regression - saga solver,0.9803153153153152,0.9770241301050198,0.1458094044107648,0.9642857142857143,0.9121621621621622,0.9375,0.9598214285714286,1.1875371999999516,0.32581029999983,0.0011670999997477338,1.5145145999995293,,,,,
logistic regression - strong reg,0.9824774774774775,0.9776123846474573,0.19995108242845386,0.9847328244274809,0.8716216216216216,0.9247311827956989,0.953125,1.2383985999999823,0.0051744000002145185,0.0012163000001237378,1.2447893000003205,,,,,
logistic regression - tight tol,0.9784459459459458,0.9743279883823729,0.14971665504912396,0.9571428571428572,0.9054054054054054,0.9305555555555555,0.9553571428571429,1.2704948999999033,0.018064500000036787,0.0016807000001790584,1.2902401000001191,,,,,
logistic regression - unweighted,0.978581081081081,0.9744931622078885,0.1494832379442506,0.9571428571428572,0.9054054054054054,0.9305555555555555,0.9553571428571429,1.1691430000000764,0.010083600000143633,0.0012369000000944652,1.1804635000003145,,,,,
logistic regression - weak reg,0.9772972972972973,0.9751730771790251,0.16556485542574004,0.9507042253521126,0.9121621621621622,0.9310344827586207,0.9553571428571429,1.17469200000005,0.019646799999918585,0.0013177999999243184,1.195656599999893,,,,,
classical qboost knn schedule2 lambda0.0 - full dataset,0.9647229884201569,0.7612261511791878,0.0317220613360405,0.5258620689655172,0.8243243243243243,0.6421052631578947,0.9984082955888721,1.6915506000000278,,1085.2999325000005,2024.5832056000004,0.07217799999989438,937.5195444999999,,,
xgboost - deep trees,0.9685247747747749,0.9620911793842666,0.2647677958011627,0.9115646258503401,0.9054054054054054,0.9084745762711863,0.9397321428571429,4.264996599999904,0.5078780000003462,0.011197899999388028,4.784072499999638,,,,,
xgboost - few estimators,0.9685247747747749,0.9620911793842666,0.2646788954734802,0.9115646258503401,0.9054054054054054,0.9084745762711863,0.9397321428571429,1.1128754999999728,0.03602680000039982,0.003161499999805528,1.1520638000001782,,,,,
xgboost - heavy subsample,0.5,0.6651785714285714,0.6936528086662292,0.33035714285714285,1.0,0.4966442953020134,0.33035714285714285,1.1803937000004225,0.47239950000039244,0.01033350000034261,1.6631267000011576,,,,,
xgboost - high lr,0.9605855855855856,0.9555415599057152,0.26461362838745117,0.8758169934640523,0.9054054054054054,0.8903654485049834,0.9263392857142857,1.1178426000005857,0.4475916999999754,0.009309699999903387,1.5747440000004644,,,,,
xgboost - hist method,0.9808783783783783,0.9777143370131998,0.13242173194885254,0.9251700680272109,0.918918918918919,0.9220338983050848,0.9486607142857143,1.1792841000005865,1.0000308999997287,0.01469959999940329,2.1940145999997185,,,,,
xgboost - low lr,0.9680067567567568,0.9616065293861407,0.2694503366947174,0.9115646258503401,0.9054054054054054,0.9084745762711863,0.9397321428571429,1.1222537000003285,0.4747943000002124,0.010293299999830197,1.6073413000003711,,,,,
xgboost - many estimators,0.9685247747747749,0.9620911793842666,0.26467153429985046,0.9115646258503401,0.9054054054054054,0.9084745762711863,0.9397321428571429,1.1014202000005753,0.8941445999998905,0.018529099999796017,2.014093900000262,,,,,
xgboost - no reg,0.9701576576576578,0.9623229289708453,0.2699092626571655,0.9115646258503401,0.9054054054054054,0.9084745762711863,0.9397321428571429,1.0970447999998214,0.4878387000007933,0.010699199999180564,1.5955826999997953,,,,,
xgboost - shallow trees,0.9685247747747749,0.9620911793842666,0.2647677958011627,0.9115646258503401,0.9054054054054054,0.9084745762711863,0.9397321428571429,1.1202150999997684,0.46063890000004903,0.011880299999575072,1.5927342999993925,,,,,
xgboost - strong reg,0.9701914414414414,0.9623372720280078,0.26666706800460815,0.9115646258503401,0.9054054054054054,0.9084745762711863,0.9397321428571429,1.1429724999998143,0.45297579999987647,0.009010900000248512,1.6049591999999393,,,,,
ensemble classical lbfgs lambda0.1 1k oversample,0.9731193693693695,0.968369834962548,0.15953068435192108,0.9701492537313433,0.8783783783783784,0.921985815602837,0.9508928571428571,3.6394137000006594,,0.04163200000039069,3.798643200000697,0.003568299999642477,0.1140292000000045,,,
ensemble classical lbfgs 5k oversample0.5,0.9439324324324325,0.8953985708880532,0.09410761296749115,0.9117647058823529,0.8378378378378378,0.8732394366197184,0.9781553398058253,1.5521358999994845,,0.07659650000005058,1.8411035999997694,0.008372199999939767,0.20399900000029447,,,
ensemble classical lbfgs no-smu-params 1k oversample,0.9731193693693695,0.968369834962548,0.15953339636325836,0.9701492537313433,0.8783783783783784,0.921985815602837,0.9508928571428571,1.5448993999998493,,0.05534269999952812,1.7404966999993121,0.005522499999642605,0.13473210000029212,,,
ensemble classical tnc 1k oversample,0.9731193693693695,0.968369834962548,0.15953339636325836,0.9701492537313433,0.8783783783783784,0.921985815602837,0.9508928571428571,1.437320600000021,,0.05386739999994461,1.6237814999994953,0.004524599999967904,0.12806889999956184,,,
ensemble classical nelder-mead 1k oversample,0.9731193693693695,0.968369834962548,0.15953339636325836,0.9701492537313433,0.8783783783783784,0.921985815602837,0.9508928571428571,1.793457099999614,,0.054900699999961944,1.9910903999998482,0.006036100000528677,0.13669649999974354,,,
ensemble classical powell 1k oversample,0.9731193693693695,0.968369834962548,0.15953339636325836,0.9701492537313433,0.8783783783783784,0.921985815602837,0.9508928571428571,1.761814399999821,,0.05621779999910359,1.9493880999989415,0.005715999999665655,0.1256399000003512,,,
ensemble classical slsqp 1k oversample,0.9731193693693695,0.968369834962548,0.15953339636325836,0.9701492537313433,0.8783783783783784,0.921985815602837,0.9508928571428571,1.6852222000006805,,0.052174899999954505,1.878358200000548,0.005108499999550986,0.13585260000036214,,,
ensemble classical tnc 1k oversample,0.9731193693693695,0.968369834962548,0.15953339636325836,0.9701492537313433,0.8783783783783784,0.921985815602837,0.9508928571428571,1.5773762999997416,,0.054470000000037544,1.7720482999993692,0.004234600000017963,0.13596739999957208,,,
ensemble classical lg oversample1x schedule-2,0.9729391891891892,0.9694259932026179,0.15262849628925323,0.9708029197080292,0.8986486486486487,0.9333333333333333,0.9575892857142857,1.4839273999996294,,0.6016009999993912,5.238370799999757,0.08910830000058922,3.063734100000147,,,
ensemble classical lg oversample1x schedule-3,0.9801351351351352,0.9747388872713846,0.13825981318950653,0.9642857142857143,0.9121621621621622,0.9375,0.9598214285714286,1.6989607999994405,,5.457556000000295,70.64087709999967,10.825737300000583,52.65862299999935,,,
ensemble classical lbfgs knn 1k oversample,0.9660135135135135,0.9626969580189222,0.2403150051832199,0.9629629629629629,0.8783783783783784,0.9187279151943463,0.9486607142857143,1.5886116000001493,,0.19069539999964036,1.8832436999991842,0.002687799999876006,0.10124889999951847,,,
ensemble classical lbfgs lda 1k oversample,0.9632995495495495,0.96161107875083,0.1898292601108551,0.9838709677419355,0.8243243243243243,0.8970588235294118,0.9375,1.2409099999995306,,0.04182500000024447,1.3602129999999306,0.003807099999903585,0.073670900000252,,,
ensemble classical lg 1k oversample,0.9731193693693695,0.968369834962548,0.15953339636325836,0.9701492537313433,0.8783783783783784,0.921985815602837,0.9508928571428571,3.50556349999988,,0.054745899999943504,3.709818799999084,0.0035782999993898557,0.14593109999987064,,,
ensemble classical lg 1k oversample,0.9556240028644626,0.6828540001496946,0.08759945631027222,0.08707865168539326,0.8378378378378378,0.1577608142493639,0.9845042894093138,5.080438900000445,,0.2603389999985666,9.678129399997488,0.00739879999855475,4.329952699999922,,,
ensemble classical lbfgs xgb 1k oversample,0.9619707207207209,0.9624616335606517,0.2964405417442322,0.9777777777777777,0.8918918918918919,0.9328621908127209,0.9575892857142857,1.1499469000000317,,0.09269029999995837,2.0704211000002033,0.00315500000033353,0.8246288999998796,,,
ensemble classical xgb schedule2 hist 1k oversample,0.9746734234234233,0.9730234784843644,0.2056037187576294,0.9710144927536232,0.9054054054054054,0.937062937062937,0.9598214285714286,3.239389499999561,,4.632498400000259,232.9406429999999,0.053014400000392925,225.0157406999997,,,
ensemble cvqboost lg 1k oversample lambda0.1,0.9731981981981982,0.9682135226722527,0.15998104214668274,0.9701492537313433,0.8783783783783784,0.921985815602837,0.9508928571428571,3.5325376999999207,,0.05275080000046728,4.278028998000391,,0.14686480000000302,0.132235229,0.413640469,0.0
ensemble cvqboost lg 1k oversample no-smu-params,0.9694256756756757,0.9665142486611343,0.16274745762348175,0.9701492537313433,0.8783783783783784,0.921985815602837,0.9508928571428571,1.174784599999839,,0.05505170000014914,1.757147611000097,,0.10282980000010866,0.13224807400000002,0.29223343700000004,0.0
ensemble cvqboost dct 1k oversample,0.9576126126126125,0.9525241712593859,0.33987998962402344,0.9411764705882353,0.8648648648648649,0.9014084507042254,0.9375,1.2446744999997463,,0.06727670000054786,1.8129650599998122,,0.07123739999951795,0.13232934500000001,0.29744711500000004,0.0
ensemble cvqboost knn 1k oversample,0.9673310810810811,0.9624507229985081,0.1866648942232132,0.9428571428571428,0.8918918918918919,0.9166666666666667,0.9464285714285714,1.7816483999995398,,0.17945549999967625,2.649453287999429,,0.11311800000021321,0.132319674,0.442911714,0.0
ensemble cvqboost lda 1k oversample,0.9644256756756757,0.9616666075746158,0.1903691291809082,0.9838709677419355,0.8243243243243243,0.8970588235294118,0.9375,1.4426494999997885,,0.03986220000024332,2.095042088999234,,0.09060329999920214,0.132287592,0.389639497,0.0
ensemble cvqboost lg 1k oversample,0.9738400900900901,0.9683867159276972,0.1591566652059555,0.9701492537313433,0.8783783783783784,0.921985815602837,0.9508928571428571,1.2721457999996346,,0.05543610000040644,1.902735052000258,,0.11066250000021682,0.132576078,0.331914574,0.0
ensemble cvqboost nb 1k oversample,0.9590878378378379,0.9618607962933934,0.18730708956718445,0.9703703703703703,0.8851351351351351,0.9257950530035335,0.953125,1.4683964999994714,,0.05319189999954688,2.218732800998771,,0.045509499999752734,0.132389694,0.519245207,0.0
ensemble cvqboost xgb 1k oversample,0.9628828828828828,0.9612296860431672,0.19175542891025543,0.9703703703703703,0.8851351351351351,0.9257950530035335,0.953125,1.3966130999997404,,0.10460259999945265,2.60850222399969,,0.5904642000004969,0.13230525,0.384517074,0.0
